Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L4-clmp.fp2_r1_screen	19801.0	2148.0	3056.0	1615.0	1051.0	259.0	219.0	83.0	2.0	0.0	58438.0	3076516.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L4-clmp.fp2_r2_screen	19692.0	2143.0	3118.0	1635.0	999.0	285.0	250.0	65.0	0.0	0.0	59434.0	3075567.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L5-clmp.fp2_r1_screen	19639.0	2099.0	3041.0	1588.0	1046.0	282.0	233.0	74.0	0.0	0.0	58529.0	3060037.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L5-clmp.fp2_r2_screen	20158.0	2148.0	3038.0	1632.0	1076.0	264.0	223.0	70.0	1.0	0.0	59180.0	3058778.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L6-clmp.fp2_r1_screen	19965.0	2199.0	3031.0	1605.0	1023.0	292.0	230.0	81.0	1.0	0.0	59201.0	3098831.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L6-clmp.fp2_r2_screen	20226.0	2236.0	3075.0	1570.0	1082.0	262.0	225.0	59.0	1.0	0.0	59848.0	3097875.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L7-clmp.fp2_r1_screen	19982.0	2128.0	3061.0	1623.0	1006.0	291.0	244.0	87.0	0.0	0.0	59108.0	3072376.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L7-clmp.fp2_r2_screen	20106.0	2100.0	3012.0	1701.0	1032.0	294.0	202.0	72.0	1.0	0.0	60274.0	3071112.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L8-clmp.fp2_r1_screen	19386.0	2060.0	2966.0	1569.0	991.0	287.0	255.0	67.0	0.0	0.0	56733.0	2948551.0
Tzo-ABol_010-Ex1-10A-lcwgs-1-2-L8-clmp.fp2_r2_screen	19508.0	2054.0	2977.0	1587.0	1026.0	277.0	254.0	80.0	1.0	0.0	57460.0	2947641.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L3-clmp.fp2_r1_screen	7058.0	854.0	1301.0	612.0	390.0	115.0	87.0	33.0	1.0	0.0	21966.0	918222.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L3-clmp.fp2_r2_screen	7031.0	831.0	1261.0	661.0	365.0	91.0	87.0	29.0	0.0	0.0	22346.0	917937.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L4-clmp.fp2_r1_screen	6925.0	852.0	1298.0	672.0	389.0	111.0	98.0	33.0	2.0	0.0	21887.0	913973.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L4-clmp.fp2_r2_screen	6957.0	814.0	1291.0	632.0	378.0	105.0	79.0	30.0	0.0	0.0	22454.0	913500.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L5-clmp.fp2_r1_screen	6944.0	879.0	1190.0	616.0	387.0	110.0	92.0	31.0	0.0	0.0	21950.0	912024.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L5-clmp.fp2_r2_screen	7172.0	851.0	1226.0	633.0	338.0	104.0	85.0	34.0	0.0	0.0	22322.0	911458.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L6-clmp.fp2_r1_screen	7131.0	917.0	1298.0	641.0	393.0	128.0	91.0	34.0	1.0	0.0	21866.0	917769.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L6-clmp.fp2_r2_screen	7139.0	871.0	1253.0	643.0	401.0	120.0	94.0	27.0	0.0	0.0	22427.0	917294.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L7-clmp.fp2_r1_screen	6996.0	859.0	1261.0	624.0	396.0	125.0	106.0	32.0	0.0	0.0	21858.0	908152.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L7-clmp.fp2_r2_screen	6971.0	779.0	1238.0	597.0	372.0	112.0	86.0	29.0	2.0	0.0	22447.0	907776.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L8-clmp.fp2_r1_screen	6584.0	819.0	1184.0	620.0	365.0	108.0	80.0	32.0	2.0	0.0	21172.0	869194.0
Tzo-ABol_020-Ex1-8B-lcwgs-1-2-L8-clmp.fp2_r2_screen	6735.0	789.0	1224.0	604.0	356.0	104.0	71.0	25.0	0.0	0.0	21328.0	868924.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L3-clmp.fp2_r1_screen	1127.0	120.0	96.0	93.0	49.0	21.0	13.0	5.0	0.0	0.0	3621.0	143102.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L3-clmp.fp2_r2_screen	1119.0	145.0	102.0	86.0	70.0	22.0	15.0	2.0	0.0	0.0	3658.0	143028.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L4-clmp.fp2_r1_screen	1118.0	150.0	122.0	95.0	60.0	19.0	13.0	4.0	0.0	0.0	3420.0	142062.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L4-clmp.fp2_r2_screen	1106.0	127.0	122.0	113.0	56.0	20.0	15.0	4.0	1.0	0.0	3554.0	141945.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L5-clmp.fp2_r1_screen	1178.0	142.0	102.0	104.0	55.0	15.0	14.0	8.0	0.0	0.0	3577.0	142370.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L5-clmp.fp2_r2_screen	1131.0	143.0	103.0	111.0	62.0	19.0	16.0	11.0	0.0	0.0	3658.0	142311.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L6-clmp.fp2_r1_screen	1130.0	108.0	102.0	89.0	56.0	15.0	8.0	4.0	0.0	0.0	3529.0	143217.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L6-clmp.fp2_r2_screen	1129.0	140.0	99.0	94.0	59.0	18.0	19.0	5.0	0.0	0.0	3567.0	143128.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L7-clmp.fp2_r1_screen	1128.0	128.0	101.0	95.0	59.0	13.0	17.0	3.0	0.0	0.0	3568.0	142198.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L7-clmp.fp2_r2_screen	1163.0	161.0	96.0	117.0	51.0	25.0	16.0	9.0	0.0	0.0	3636.0	142036.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L8-clmp.fp2_r1_screen	1086.0	131.0	95.0	78.0	46.0	18.0	11.0	2.0	0.0	0.0	3350.0	133182.0
Tzo-ABol_023-Ex1-11B-lcwgs-1-2-L8-clmp.fp2_r2_screen	1110.0	118.0	107.0	81.0	63.0	13.0	13.0	4.0	0.0	0.0	3418.0	133072.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L3-clmp.fp2_r1_screen	21354.0	2472.0	2567.0	1875.0	1068.0	329.0	301.0	76.0	6.0	0.0	62001.0	2615249.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L3-clmp.fp2_r2_screen	21260.0	2568.0	2495.0	1898.0	1111.0	330.0	288.0	64.0	0.0	0.0	62847.0	2614437.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L4-clmp.fp2_r1_screen	21175.0	2427.0	2570.0	1866.0	1128.0	361.0	287.0	83.0	2.0	0.0	61107.0	2601471.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L4-clmp.fp2_r2_screen	21231.0	2442.0	2487.0	1831.0	1081.0	316.0	295.0	75.0	1.0	0.0	62593.0	2600125.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L5-clmp.fp2_r1_screen	21034.0	2466.0	2526.0	1832.0	1093.0	370.0	305.0	84.0	0.0	0.0	60914.0	2598501.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L5-clmp.fp2_r2_screen	21263.0	2458.0	2578.0	1839.0	1057.0	352.0	268.0	76.0	0.0	0.0	62615.0	2596619.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L6-clmp.fp2_r1_screen	20979.0	2583.0	2548.0	1862.0	1108.0	354.0	287.0	69.0	2.0	0.0	61474.0	2616912.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L6-clmp.fp2_r2_screen	21419.0	2434.0	2495.0	1839.0	1033.0	331.0	314.0	85.0	3.0	0.0	62667.0	2615558.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L7-clmp.fp2_r1_screen	21153.0	2446.0	2581.0	1814.0	1155.0	362.0	299.0	99.0	0.0	0.0	61404.0	2594336.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L7-clmp.fp2_r2_screen	21031.0	2608.0	2584.0	1849.0	1090.0	330.0	260.0	90.0	1.0	0.0	62812.0	2592994.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L8-clmp.fp2_r1_screen	20019.0	2459.0	2569.0	1805.0	1050.0	352.0	271.0	75.0	0.0	0.0	59215.0	2487400.0
Tzo-ABol_026-Ex1-2C-lcwgs-1-2-L8-clmp.fp2_r2_screen	20094.0	2382.0	2444.0	1782.0	1076.0	342.0	267.0	81.0	3.0	0.0	60117.0	2486627.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L3-clmp.fp2_r1_screen	7173.0	1295.0	819.0	617.0	388.0	125.0	98.0	31.0	0.0	0.0	21034.0	940108.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L3-clmp.fp2_r2_screen	7229.0	1267.0	832.0	648.0	397.0	97.0	78.0	28.0	0.0	0.0	21296.0	939816.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L4-clmp.fp2_r1_screen	6995.0	1256.0	768.0	563.0	353.0	106.0	99.0	26.0	1.0	0.0	20661.0	935560.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L4-clmp.fp2_r2_screen	7050.0	1238.0	804.0	594.0	338.0	119.0	95.0	31.0	1.0	0.0	21041.0	935077.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L5-clmp.fp2_r1_screen	7011.0	1283.0	813.0	607.0	339.0	109.0	86.0	28.0	0.0	0.0	20875.0	936258.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L5-clmp.fp2_r2_screen	6860.0	1239.0	814.0	631.0	376.0	105.0	91.0	29.0	0.0	0.0	21296.0	935968.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L6-clmp.fp2_r1_screen	7017.0	1248.0	823.0	568.0	358.0	129.0	92.0	32.0	0.0	0.0	20625.0	940553.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L6-clmp.fp2_r2_screen	6944.0	1239.0	783.0	604.0	382.0	96.0	86.0	30.0	0.0	0.0	21117.0	940164.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L7-clmp.fp2_r1_screen	7024.0	1279.0	777.0	607.0	342.0	112.0	111.0	25.0	1.0	0.0	20648.0	935488.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L7-clmp.fp2_r2_screen	6988.0	1232.0	760.0	604.0	341.0	107.0	78.0	24.0	0.0	0.0	21178.0	935102.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L8-clmp.fp2_r1_screen	6796.0	1217.0	727.0	563.0	316.0	107.0	79.0	23.0	0.0	0.0	19939.0	900430.0
Tzo-ABol_030-Ex1-6C-lcwgs-1-2-L8-clmp.fp2_r2_screen	6908.0	1251.0	708.0	584.0	357.0	106.0	64.0	22.0	0.0	0.0	20232.0	899965.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L3-clmp.fp2_r1_screen	26947.0	3215.0	3509.0	2390.0	1420.0	423.0	352.0	93.0	3.0	0.0	78583.0	3691991.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L3-clmp.fp2_r2_screen	26938.0	3200.0	3522.0	2339.0	1362.0	403.0	345.0	95.0	1.0	1.0	79871.0	3690849.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L4-clmp.fp2_r1_screen	26677.0	3241.0	3596.0	2383.0	1438.0	403.0	371.0	107.0	0.0	0.0	77984.0	3668794.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L4-clmp.fp2_r2_screen	26538.0	3205.0	3494.0	2284.0	1409.0	378.0	378.0	98.0	1.0	0.0	79550.0	3667659.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L5-clmp.fp2_r1_screen	26904.0	3242.0	3622.0	2342.0	1443.0	438.0	336.0	112.0	1.0	0.0	78005.0	3664227.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L5-clmp.fp2_r2_screen	26753.0	3175.0	3539.0	2362.0	1413.0	421.0	335.0	95.0	1.0	0.0	79863.0	3662715.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L6-clmp.fp2_r1_screen	27065.0	3306.0	3644.0	2315.0	1421.0	449.0	338.0	93.0	2.0	0.0	78831.0	3696298.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L6-clmp.fp2_r2_screen	27180.0	3245.0	3655.0	2310.0	1498.0	379.0	317.0	89.0	1.0	0.0	80316.0	3694772.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L7-clmp.fp2_r1_screen	26957.0	3198.0	3489.0	2381.0	1449.0	411.0	356.0	79.0	4.0	0.0	77843.0	3667752.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L7-clmp.fp2_r2_screen	26902.0	3220.0	3586.0	2380.0	1380.0	375.0	367.0	100.0	4.0	0.0	79366.0	3666239.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L8-clmp.fp2_r1_screen	26218.0	3127.0	3452.0	2157.0	1393.0	387.0	356.0	120.0	2.0	0.0	75458.0	3533595.0
Tzo-ABol_034-Ex1-10C-lcwgs-1-2-L8-clmp.fp2_r2_screen	26137.0	3141.0	3421.0	2218.0	1382.0	382.0	370.0	87.0	3.0	0.0	76988.0	3532136.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L3-clmp.fp2_r1_screen	27095.0	2918.0	4723.0	2283.0	1439.0	381.0	299.0	113.0	1.0	0.0	89682.0	3641055.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L3-clmp.fp2_r2_screen	27211.0	2921.0	4814.0	2316.0	1424.0	367.0	281.0	93.0	2.0	0.0	91390.0	3639170.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L4-clmp.fp2_r1_screen	26960.0	2977.0	4612.0	2252.0	1459.0	329.0	284.0	102.0	0.0	0.0	89529.0	3628903.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L4-clmp.fp2_r2_screen	27120.0	2994.0	4535.0	2241.0	1450.0	375.0	314.0	98.0	2.0	0.0	90878.0	3627400.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L5-clmp.fp2_r1_screen	26872.0	2968.0	4500.0	2353.0	1490.0	355.0	302.0	78.0	0.0	0.0	89697.0	3621089.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L5-clmp.fp2_r2_screen	26714.0	2945.0	4517.0	2258.0	1411.0	335.0	308.0	95.0	1.0	0.0	91156.0	3619964.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L6-clmp.fp2_r1_screen	27243.0	2887.0	4656.0	2303.0	1361.0	373.0	307.0	98.0	3.0	0.0	90074.0	3651538.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L6-clmp.fp2_r2_screen	27145.0	2988.0	4683.0	2355.0	1420.0	387.0	318.0	104.0	5.0	0.0	91791.0	3649647.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L7-clmp.fp2_r1_screen	26836.0	2987.0	4659.0	2229.0	1382.0	390.0	306.0	99.0	0.0	0.0	90101.0	3631600.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L7-clmp.fp2_r2_screen	27094.0	2901.0	4615.0	2227.0	1382.0	358.0	284.0	84.0	2.0	0.0	91546.0	3630096.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L8-clmp.fp2_r1_screen	26326.0	2811.0	4502.0	2254.0	1410.0	335.0	274.0	86.0	0.0	0.0	86963.0	3486607.0
Tzo-ABol_036-Ex1-12C-lcwgs-1-2-L8-clmp.fp2_r2_screen	26188.0	2768.0	4506.0	2226.0	1357.0	364.0	289.0	105.0	3.0	0.0	88599.0	3485163.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L3-clmp.fp2_r1_screen	14736.0	1804.0	1511.0	1352.0	823.0	221.0	199.0	55.0	1.0	0.0	42464.0	2168828.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L3-clmp.fp2_r2_screen	14723.0	1818.0	1559.0	1296.0	848.0	203.0	202.0	59.0	0.0	0.0	43351.0	2167935.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L4-clmp.fp2_r1_screen	14505.0	1805.0	1497.0	1306.0	792.0	196.0	206.0	45.0	1.0	0.0	42122.0	2152949.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L4-clmp.fp2_r2_screen	14483.0	1809.0	1471.0	1305.0	860.0	203.0	205.0	58.0	1.0	0.0	42524.0	2152505.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L5-clmp.fp2_r1_screen	14489.0	1787.0	1586.0	1350.0	838.0	219.0	219.0	60.0	1.0	0.0	42006.0	2147854.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L5-clmp.fp2_r2_screen	14634.0	1779.0	1542.0	1247.0	805.0	241.0	188.0	50.0	2.0	0.0	42730.0	2147191.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L6-clmp.fp2_r1_screen	14828.0	1835.0	1515.0	1283.0	843.0	221.0	212.0	50.0	1.0	0.0	42054.0	2165568.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L6-clmp.fp2_r2_screen	14869.0	1772.0	1480.0	1376.0	870.0	243.0	220.0	59.0	0.0	0.0	43067.0	2164454.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L7-clmp.fp2_r1_screen	14460.0	1810.0	1535.0	1311.0	865.0	236.0	176.0	59.0	1.0	0.0	41797.0	2145186.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L7-clmp.fp2_r2_screen	14642.0	1856.0	1488.0	1326.0	836.0	207.0	151.0	53.0	2.0	0.0	42793.0	2144082.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L8-clmp.fp2_r1_screen	13985.0	1687.0	1551.0	1255.0	790.0	199.0	227.0	60.0	0.0	0.0	40586.0	2056841.0
Tzo-ABol_038-Ex1-2D-lcwgs-1-2-L8-clmp.fp2_r2_screen	14132.0	1725.0	1478.0	1214.0	795.0	213.0	210.0	58.0	0.0	0.0	41150.0	2056206.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L3-clmp.fp2_r1_screen	49853.0	5457.0	4788.0	4179.0	2544.0	696.0	560.0	152.0	1.0	0.0	152543.0	6699996.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L3-clmp.fp2_r2_screen	50030.0	5642.0	4618.0	4310.0	2488.0	729.0	611.0	175.0	2.0	0.0	154936.0	6697228.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L4-clmp.fp2_r1_screen	49918.0	5436.0	4714.0	4160.0	2512.0	727.0	561.0	190.0	2.0	0.0	152075.0	6729054.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L4-clmp.fp2_r2_screen	50109.0	5406.0	4777.0	4199.0	2579.0	715.0	588.0	185.0	0.0	0.0	154517.0	6726274.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L5-clmp.fp2_r1_screen	49771.0	5470.0	4621.0	4153.0	2477.0	702.0	636.0	156.0	0.0	0.0	152032.0	6677079.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L5-clmp.fp2_r2_screen	49660.0	5601.0	4592.0	4176.0	2566.0	723.0	601.0	177.0	1.0	0.0	154680.0	6674320.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L6-clmp.fp2_r1_screen	50433.0	5362.0	4846.0	4268.0	2469.0	735.0	592.0	193.0	3.0	0.0	153387.0	6767876.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L6-clmp.fp2_r2_screen	50871.0	5441.0	4787.0	4086.0	2395.0	712.0	627.0	195.0	2.0	0.0	155968.0	6765080.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L7-clmp.fp2_r1_screen	50202.0	5506.0	4733.0	4157.0	2545.0	710.0	600.0	189.0	0.0	0.0	152169.0	6701133.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L7-clmp.fp2_r2_screen	50530.0	5483.0	4732.0	4087.0	2415.0	749.0	601.0	182.0	0.0	0.0	156185.0	6696980.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L8-clmp.fp2_r1_screen	47836.0	5215.0	4364.0	3965.0	2400.0	736.0	582.0	195.0	0.0	0.0	145647.0	6380927.0
Tzo-ABol_043-Ex1-7D-lcwgs-1-2-L8-clmp.fp2_r2_screen	48350.0	5292.0	4443.0	4004.0	2391.0	653.0	536.0	184.0	0.0	0.0	148383.0	6377631.0
Tzo-ABol_044-Ex1-8D-lcwgs-1-2-L3-clmp.fp2_r1_screen	13656.0	1263.0	2309.0	1046.0	749.0	138.0	131.0	63.0	0.0	0.0	60797.0	2023572.0
Tzo-ABol_044-Ex1-8D-lcwgs-1-2-L3-clmp.fp2_r2_screen	13249.0	1268.0	2398.0	1047.0	765.0	130.0	112.0	65.0	0.0	0.0	61750.0	2022940.0
Tzo-ABol_044-Ex1-8D-lcwgs-1-2-L4-clmp.fp2_r1_screen	13552.0	1297.0	2312.0	1128.0	735.0	141.0	122.0	77.0	0.0	0.0	60398.0	2013705.0
Tzo-ABol_044-Ex1-8D-lcwgs-1-2-L4-clmp.fp2_r2_screen	13517.0	1262.0	2341.0	1038.0	711.0	113.0	155.0	68.0	1.0	0.0	61184.0	2013077.0
Tzo-ABol_044-Ex1-8D-lcwgs-1-2-L5-clmp.fp2_r1_screen	13749.0	1243.0	2363.0	1029.0	744.0	139.0	121.0	66.0	1.0	0.0	60860.0	2011220.0
